Symbol,Company Name,Industry,Market Cap,Stock URL
ACMR,"ACM Research, Inc.",Semiconductor Equipment & Materials,1.39B,https://stockanalysis.com/stocks/ACMR/
ACN,Accenture plc,Information Technology Services,181.33B,https://stockanalysis.com/stocks/ACN/
ACNB,ACNB Corporation,Banks - Regional,264.73M,https://stockanalysis.com/stocks/ACNB/
ACNT,Ascent Industries Co.,Steel,103.32M,https://stockanalysis.com/stocks/ACNT/
ACON,"Aclarion, Inc.",Health Information Services,2.43M,https://stockanalysis.com/stocks/ACON/
ACR,ACRES Commercial Realty Corp.,REIT - Mortgage,100.36M,https://stockanalysis.com/stocks/ACR/
ACRE,Ares Commercial Real Estate Corporation,REIT - Mortgage,382.09M,https://stockanalysis.com/stocks/ACRE/
ACRS,"Aclaris Therapeutics, Inc.",Diagnostics & Research,71.98M,https://stockanalysis.com/stocks/ACRS/
ACRV,"Acrivon Therapeutics, Inc.",Biotechnology,223.86M,https://stockanalysis.com/stocks/ACRV/
ACST,Acasti Pharma Inc.,Biotechnology,28.76M,https://stockanalysis.com/stocks/ACST/
ACT,"Enact Holdings, Inc.",Insurance - Specialty,4.70B,https://stockanalysis.com/stocks/ACT/
ACTG,Acacia Research Corporation,Business Equipment & Supplies,518.46M,https://stockanalysis.com/stocks/ACTG/
ACU,Acme United Corporation,Household & Personal Products,133.33M,https://stockanalysis.com/stocks/ACU/
ACVA,ACV Auctions Inc.,Auto & Truck Dealerships,2.94B,https://stockanalysis.com/stocks/ACVA/
ACXP,"Acurx Pharmaceuticals, Inc.",Biotechnology,38.02M,https://stockanalysis.com/stocks/ACXP/
ADAG,Adagene Inc.,Biotechnology,131.46M,https://stockanalysis.com/stocks/ADAG/
ADAP,Adaptimmune Therapeutics plc,Biotechnology,260.61M,https://stockanalysis.com/stocks/ADAP/
ADBE,Adobe Inc.,Software - Infrastructure,208.51B,https://stockanalysis.com/stocks/ADBE/
ADC,Agree Realty Corporation,REIT - Retail,6.15B,https://stockanalysis.com/stocks/ADC/
ADCT,ADC Therapeutics SA,Biotechnology,329.09M,https://stockanalysis.com/stocks/ADCT/
ADD,"Color Star Technology Co., Ltd.",Entertainment,2.24M,https://stockanalysis.com/stocks/ADD/
ADEA,Adeia Inc.,Software - Application,1.26B,https://stockanalysis.com/stocks/ADEA/
ADI,"Analog Devices, Inc.",Semiconductors,116.50B,https://stockanalysis.com/stocks/ADI/
ADIL,"Adial Pharmaceuticals, Inc.",Biotechnology,5.24M,https://stockanalysis.com/stocks/ADIL/
ADM,Archer-Daniels-Midland Company,Farm Products,30.29B,https://stockanalysis.com/stocks/ADM/
ADMA,"ADMA Biologics, Inc.",Biotechnology,2.43B,https://stockanalysis.com/stocks/ADMA/
ADN,"Advent Technologies Holdings, Inc.",Utilities - Renewable,8.69M,https://stockanalysis.com/stocks/ADN/
ADNT,Adient plc,Auto Parts,2.50B,https://stockanalysis.com/stocks/ADNT/
ADP,"Automatic Data Processing, Inc.",Staffing & Employment Services,103.27B,https://stockanalysis.com/stocks/ADP/
ADPT,Adaptive Biotechnologies Corporation,Biotechnology,532.00M,https://stockanalysis.com/stocks/ADPT/
ADRT,Ault Disruptive Technologies Corporation,Shell Companies,65.90M,https://stockanalysis.com/stocks/ADRT/
ADSE,ADS-TEC Energy PLC,Electrical Equipment & Parts,556.94M,https://stockanalysis.com/stocks/ADSE/
ADSK,"Autodesk, Inc.",Software - Application,46.55B,https://stockanalysis.com/stocks/ADSK/
ADT,ADT Inc.,Security & Protection Services,6.29B,https://stockanalysis.com/stocks/ADT/
ADTH,"AdTheorent Holding Company, Inc.",Advertising Agencies,293.35M,https://stockanalysis.com/stocks/ADTH/
ADTN,"ADTRAN Holdings, Inc.",Communication Equipment,422.48M,https://stockanalysis.com/stocks/ADTN/
ADTX,"Aditxt, Inc.",Biotechnology,3.79M,https://stockanalysis.com/stocks/ADTX/
ADUS,Addus HomeCare Corporation,Medical Care Facilities,1.88B,https://stockanalysis.com/stocks/ADUS/
ADV,Advantage Solutions Inc.,Advertising Agencies,972.98M,https://stockanalysis.com/stocks/ADV/
ADVM,"Adverum Biotechnologies, Inc.",Biotechnology,152.56M,https://stockanalysis.com/stocks/ADVM/
ADXN,Addex Therapeutics Ltd,Biotechnology,13.74M,https://stockanalysis.com/stocks/ADXN/
AE,"Adams Resources & Energy, Inc.",Oil & Gas Refining & Marketing,68.41M,https://stockanalysis.com/stocks/AE/
AEAE,AltEnergy Acquisition Corp.,Shell Companies,70.05M,https://stockanalysis.com/stocks/AEAE/
AEE,Ameren Corporation,Utilities - Regulated Electric,18.95B,https://stockanalysis.com/stocks/AEE/
AEG,Aegon N.V.,Insurance - Diversified,11.10B,https://stockanalysis.com/stocks/AEG/
AEHL,Antelope Enterprise Holdings Limited,Building Products & Equipment,15.79M,https://stockanalysis.com/stocks/AEHL/
AEHR,Aehr Test Systems,Semiconductor Equipment & Materials,376.47M,https://stockanalysis.com/stocks/AEHR/
AEI,Alset EHome International Inc.,Real Estate - Development,9.51M,https://stockanalysis.com/stocks/AEI/
AEIS,"Advanced Energy Industries, Inc.",Electrical Equipment & Parts,3.95B,https://stockanalysis.com/stocks/AEIS/
AEM,Agnico Eagle Mines Limited,Gold,31.83B,https://stockanalysis.com/stocks/AEM/
AEMD,"Aethlon Medical, Inc.",Medical Devices,5.41M,https://stockanalysis.com/stocks/AEMD/
AENT,Alliance Entertainment Holding Corporation,Entertainment,153.30M,https://stockanalysis.com/stocks/AENT/
