Symbol,Company Name,Industry,Market Cap,Stock URL
BTG,B2Gold Corp.,Gold,3.38B,https://stockanalysis.com/stocks/BTG/
BTI,British American Tobacco p.l.c.,Tobacco,68.70B,https://stockanalysis.com/stocks/BTI/
BTM,Bitcoin Depot Inc.,Capital Markets,33.65M,https://stockanalysis.com/stocks/BTM/
BTMD,biote Corp.,Medical Care Facilities,415.02M,https://stockanalysis.com/stocks/BTMD/
BTOC,Armlogi Holding Corp.,Integrated Freight & Logistics,193.20M,https://stockanalysis.com/stocks/BTOC/
BTOG,Bit Origin Limited,Capital Markets,20.25M,https://stockanalysis.com/stocks/BTOG/
BTSG,"BrightSpring Health Services, Inc.",Health Information Services,1.88B,https://stockanalysis.com/stocks/BTSG/
BTTR,Better Choice Company Inc.,Packaged Foods,3.03M,https://stockanalysis.com/stocks/BTTR/
BTU,Peabody Energy Corporation,Thermal Coal,2.98B,https://stockanalysis.com/stocks/BTU/
BUD,Anheuser-Busch InBev SA/NV,Beverages - Brewers,124.89B,https://stockanalysis.com/stocks/BUD/
BUJA,Bukit Jalil Global Acquisition 1 Ltd,Shell Companies,83.83M,https://stockanalysis.com/stocks/BUJA/
BUR,Burford Capital Limited,Asset Management,3.13B,https://stockanalysis.com/stocks/BUR/
BURL,"Burlington Stores, Inc.",Apparel Retail,14.63B,https://stockanalysis.com/stocks/BURL/
BURU,"Nuburu, Inc.",Specialty Industrial Machinery,5.81M,https://stockanalysis.com/stocks/BURU/
BUSE,First Busey Corporation,Banks - Regional,1.28B,https://stockanalysis.com/stocks/BUSE/
BV,"BrightView Holdings, Inc.",Specialty Business Services,1.30B,https://stockanalysis.com/stocks/BV/
BVN,Compania de Minas Buenaventura S.A.,Other Precious Metals & Mining,4.26B,https://stockanalysis.com/stocks/BVN/
BVS,Bioventus Inc.,Medical Devices,404.03M,https://stockanalysis.com/stocks/BVS/
BW,"Babcock & Wilcox Enterprises, Inc.",Specialty Industrial Machinery,108.30M,https://stockanalysis.com/stocks/BW/
BWA,BorgWarner Inc.,Auto Parts,7.89B,https://stockanalysis.com/stocks/BWA/
BWAQ,Blue World Acquisition Corporation,Shell Companies,39.36M,https://stockanalysis.com/stocks/BWAQ/
BWAY,BrainsWay Ltd.,Medical Devices,107.32M,https://stockanalysis.com/stocks/BWAY/
BWB,"Bridgewater Bancshares, Inc.",Banks - Regional,300.84M,https://stockanalysis.com/stocks/BWB/
BWEN,"Broadwind, Inc.",Specialty Industrial Machinery,87.15M,https://stockanalysis.com/stocks/BWEN/
BWFG,"Bankwell Financial Group, Inc.",Banks - Regional,189.88M,https://stockanalysis.com/stocks/BWFG/
BWIN,"The Baldwin Insurance Group, Inc.",Insurance Brokers,2.26B,https://stockanalysis.com/stocks/BWIN/
BWLP,BW LPG Limited,Marine Shipping,2.72B,https://stockanalysis.com/stocks/BWLP/
BWMN,Bowman Consulting Group Ltd.,Engineering & Construction,534.76M,https://stockanalysis.com/stocks/BWMN/
BWMX,"Betterware de México, S.A.P.I. de C.V.",Specialty Retail,619.83M,https://stockanalysis.com/stocks/BWMX/
BWXT,"BWX Technologies, Inc.",Aerospace & Defense,8.18B,https://stockanalysis.com/stocks/BWXT/
BX,Blackstone Inc.,Asset Management,142.21B,https://stockanalysis.com/stocks/BX/
BXC,BlueLinx Holdings Inc.,Industrial Distribution,845.82M,https://stockanalysis.com/stocks/BXC/
BXMT,"Blackstone Mortgage Trust, Inc.",REIT - Mortgage,2.99B,https://stockanalysis.com/stocks/BXMT/
BXP,"Boston Properties, Inc.",REIT - Office,9.31B,https://stockanalysis.com/stocks/BXP/
BY,"Byline Bancorp, Inc.",Banks - Regional,992.35M,https://stockanalysis.com/stocks/BY/
BYD,Boyd Gaming Corporation,Resorts & Casinos,5.03B,https://stockanalysis.com/stocks/BYD/
BYFC,Broadway Financial Corporation,Banks - Regional,46.20M,https://stockanalysis.com/stocks/BYFC/
BYND,"Beyond Meat, Inc.",Packaged Foods,492.47M,https://stockanalysis.com/stocks/BYND/
BYNO,byNordic Acquisition Corporation,Shell Companies,115.81M,https://stockanalysis.com/stocks/BYNO/
BYON,"Beyond, Inc.",Internet Retail,683.26M,https://stockanalysis.com/stocks/BYON/
BYRN,Byrna Technologies Inc.,Aerospace & Defense,251.47M,https://stockanalysis.com/stocks/BYRN/
BYSI,BeyondSpring Inc.,Biotechnology,95.23M,https://stockanalysis.com/stocks/BYSI/
BYU,"BAIYU Holdings, Inc.",Shell Companies,23.13M,https://stockanalysis.com/stocks/BYU/
BZ,Kanzhun Limited,Internet Content & Information,9.33B,https://stockanalysis.com/stocks/BZ/
BZFD,"BuzzFeed, Inc.",Internet Content & Information,84.93M,https://stockanalysis.com/stocks/BZFD/
BZH,"Beazer Homes USA, Inc.",Residential Construction,886.48M,https://stockanalysis.com/stocks/BZH/
BZUN,Baozun Inc.,Internet Retail,109.99M,https://stockanalysis.com/stocks/BZUN/
C,Citigroup Inc.,Banks - Diversified,117.84B,https://stockanalysis.com/stocks/C/
CAAP,Corporación América Airports S.A.,Airports & Air Services,2.78B,https://stockanalysis.com/stocks/CAAP/
CAAS,"China Automotive Systems, Inc.",Auto Parts,119.84M,https://stockanalysis.com/stocks/CAAS/
CABA,"Cabaletta Bio, Inc.",Biotechnology,508.83M,https://stockanalysis.com/stocks/CABA/
CABO,"Cable One, Inc.",Telecom Services,2.11B,https://stockanalysis.com/stocks/CABO/
CAC,Camden National Corporation,Banks - Regional,472.53M,https://stockanalysis.com/stocks/CAC/
CACC,Credit Acceptance Corporation,Credit Services,5.81B,https://stockanalysis.com/stocks/CACC/
CACI,CACI International Inc,Information Technology Services,9.31B,https://stockanalysis.com/stocks/CACI/
CACO,Caravelle International Group,Marine Shipping,59.64M,https://stockanalysis.com/stocks/CACO/
CADE,Cadence Bank,Banks - Regional,5.23B,https://stockanalysis.com/stocks/CADE/
CADL,"Candel Therapeutics, Inc.",Biotechnology,212.76M,https://stockanalysis.com/stocks/CADL/
CAE,CAE Inc.,Aerospace & Defense,5.89B,https://stockanalysis.com/stocks/CAE/
CAG,"Conagra Brands, Inc.",Packaged Foods,14.21B,https://stockanalysis.com/stocks/CAG/
CAH,"Cardinal Health, Inc.",Medical Distribution,23.99B,https://stockanalysis.com/stocks/CAH/
CAKE,The Cheesecake Factory Incorporated,Restaurants,1.98B,https://stockanalysis.com/stocks/CAKE/
CAL,"Caleres, Inc.",Apparel Retail,1.16B,https://stockanalysis.com/stocks/CAL/
CALB,California BanCorp,Banks - Regional,176.08M,https://stockanalysis.com/stocks/CALB/
CALM,"Cal-Maine Foods, Inc.",Farm Products,2.85B,https://stockanalysis.com/stocks/CALM/
CALT,Calliditas Therapeutics AB (publ),Biotechnology,1.06B,https://stockanalysis.com/stocks/CALT/
CALX,"Calix, Inc.",Software - Infrastructure,2.32B,https://stockanalysis.com/stocks/CALX/
CAMP,CalAmp Corp.,Communication Equipment,1.21M,https://stockanalysis.com/stocks/CAMP/
CAMT,Camtek Ltd.,Semiconductor Equipment & Materials,4.94B,https://stockanalysis.com/stocks/CAMT/
CAN,Canaan Inc.,Computer Hardware,273.28M,https://stockanalysis.com/stocks/CAN/
CANF,Can-Fite BioPharma Ltd.,Biotechnology,11.71M,https://stockanalysis.com/stocks/CANF/
CANG,Cango Inc.,Auto & Truck Dealerships,174.39M,https://stockanalysis.com/stocks/CANG/
CAPL,CrossAmerica Partners LP,Oil & Gas Refining & Marketing,770.05M,https://stockanalysis.com/stocks/CAPL/
CAPR,"Capricor Therapeutics, Inc.",Biotechnology,166.69M,https://stockanalysis.com/stocks/CAPR/
CAPT,Captivision Inc.,Building Materials,86.79M,https://stockanalysis.com/stocks/CAPT/
CAR,"Avis Budget Group, Inc.",Rental & Leasing Services,3.86B,https://stockanalysis.com/stocks/CAR/
CARA,"Cara Therapeutics, Inc.",Biotechnology,34.13M,https://stockanalysis.com/stocks/CARA/
CARE,"Carter Bankshares, Inc.",Banks - Regional,291.37M,https://stockanalysis.com/stocks/CARE/
CARG,"CarGurus, Inc.",Auto & Truck Dealerships,2.73B,https://stockanalysis.com/stocks/CARG/
CARM,"Carisma Therapeutics, Inc.",Biotechnology,44.87M,https://stockanalysis.com/stocks/CARM/
CARR,Carrier Global Corporation,Building Products & Equipment,56.50B,https://stockanalysis.com/stocks/CARR/
CARS,Cars.com Inc.,Auto & Truck Dealerships,1.35B,https://stockanalysis.com/stocks/CARS/
CART,Maplebear Inc.,Internet Retail,8.73B,https://stockanalysis.com/stocks/CART/
CARV,"Carver Bancorp, Inc.",Banks - Regional,9.22M,https://stockanalysis.com/stocks/CARV/
CASH,"Pathward Financial, Inc.",Banks - Regional,1.37B,https://stockanalysis.com/stocks/CASH/
CASI,"CASI Pharmaceuticals, Inc.",Biotechnology,46.50M,https://stockanalysis.com/stocks/CASI/
CASS,"Cass Information Systems, Inc.",Specialty Business Services,565.26M,https://stockanalysis.com/stocks/CASS/
CASY,"Casey's General Stores, Inc.",Specialty Retail,12.16B,https://stockanalysis.com/stocks/CASY/
CAT,Caterpillar Inc.,Farm & Heavy Construction Machinery,160.87B,https://stockanalysis.com/stocks/CAT/
CATC,Cambridge Bancorp,Banks - Regional,505.08M,https://stockanalysis.com/stocks/CATC/
CATO,The Cato Corporation,Apparel Retail,114.25M,https://stockanalysis.com/stocks/CATO/
CATX,"Perspective Therapeutics, Inc.",Medical Devices,808.97M,https://stockanalysis.com/stocks/CATX/
CATY,Cathay General Bancorp,Banks - Regional,2.65B,https://stockanalysis.com/stocks/CATY/
CAUD,"Collective Audience, Inc.",Software - Application,5.21M,https://stockanalysis.com/stocks/CAUD/
CAVA,"CAVA Group, Inc.",Restaurants,9.70B,https://stockanalysis.com/stocks/CAVA/
CB,Chubb Limited,Insurance - Property & Casualty,108.51B,https://stockanalysis.com/stocks/CB/
CBAN,"Colony Bankcorp, Inc.",Banks - Regional,206.31M,https://stockanalysis.com/stocks/CBAN/
CBAT,"CBAK Energy Technology, Inc.",Electrical Equipment & Parts,145.70M,https://stockanalysis.com/stocks/CBAT/
CBFV,"CB Financial Services, Inc.",Banks - Regional,115.80M,https://stockanalysis.com/stocks/CBFV/
CBL,"CBL & Associates Properties, Inc.",REIT - Retail,719.36M,https://stockanalysis.com/stocks/CBL/
CBNK,"Capital Bancorp, Inc.",Banks - Regional,277.93M,https://stockanalysis.com/stocks/CBNK/
CBOE,"Cboe Global Markets, Inc.",Financial Data & Stock Exchanges,18.16B,https://stockanalysis.com/stocks/CBOE/
CBRE,"CBRE Group, Inc.",Real Estate Services,26.27B,https://stockanalysis.com/stocks/CBRE/
CBRG,Chain Bridge I,Shell Companies,75.80M,https://stockanalysis.com/stocks/CBRG/
CBRL,"Cracker Barrel Old Country Store, Inc.",Restaurants,1.07B,https://stockanalysis.com/stocks/CBRL/
CBSH,"Commerce Bancshares, Inc.",Banks - Regional,7.03B,https://stockanalysis.com/stocks/CBSH/
CBT,Cabot Corporation,Specialty Chemicals,5.39B,https://stockanalysis.com/stocks/CBT/
CBU,"Community Bank System, Inc.",Banks - Regional,2.37B,https://stockanalysis.com/stocks/CBU/
CBUS,"Cibus, Inc.",Biotechnology,301.68M,https://stockanalysis.com/stocks/CBUS/
CBZ,"CBIZ, Inc.",Specialty Business Services,3.70B,https://stockanalysis.com/stocks/CBZ/
CC,The Chemours Company,Specialty Chemicals,3.60B,https://stockanalysis.com/stocks/CC/
CCAP,"Crescent Capital BDC, Inc.",Asset Management,696.39M,https://stockanalysis.com/stocks/CCAP/
CCB,Coastal Financial Corporation,Banks - Regional,593.95M,https://stockanalysis.com/stocks/CCB/
CCBG,"Capital City Bank Group, Inc.",Banks - Regional,456.11M,https://stockanalysis.com/stocks/CCBG/
CCCC,"C4 Therapeutics, Inc.",Biotechnology,320.64M,https://stockanalysis.com/stocks/CCCC/
CCCS,CCC Intelligent Solutions Holdings Inc.,Software - Infrastructure,7.14B,https://stockanalysis.com/stocks/CCCS/
CCEL,"Cryo-Cell International, Inc.",Medical Care Facilities,74.72M,https://stockanalysis.com/stocks/CCEL/
CCEP,Coca-Cola Europacific Partners PLC,Beverages - Non-Alcoholic,34.15B,https://stockanalysis.com/stocks/CCEP/
CCG,Cheche Group Inc.,Internet Content & Information,70.00M,https://stockanalysis.com/stocks/CCG/
CCI,Crown Castle Inc.,REIT - Specialty,43.72B,https://stockanalysis.com/stocks/CCI/
CCJ,Cameco Corporation,Uranium,23.18B,https://stockanalysis.com/stocks/CCJ/
CCK,"Crown Holdings, Inc.",Packaging & Containers,9.93B,https://stockanalysis.com/stocks/CCK/
CCL,Carnival Corporation & plc,Travel Services,20.96B,https://stockanalysis.com/stocks/CCL/
CCLD,"CareCloud, Inc.",Health Information Services,58.84M,https://stockanalysis.com/stocks/CCLD/
CCM,Concord Medical Services Holdings Limited,Medical Care Facilities,30.02M,https://stockanalysis.com/stocks/CCM/
CCNE,CNB Financial Corporation,Banks - Regional,399.28M,https://stockanalysis.com/stocks/CCNE/
CCO,"Clear Channel Outdoor Holdings, Inc.",Advertising Agencies,674.42M,https://stockanalysis.com/stocks/CCO/
CCOI,"Cogent Communications Holdings, Inc.",Telecom Services,2.70B,https://stockanalysis.com/stocks/CCOI/
CCRD,CoreCard Corporation,Software - Application,121.19M,https://stockanalysis.com/stocks/CCRD/
CCRN,"Cross Country Healthcare, Inc.",Medical Care Facilities,510.83M,https://stockanalysis.com/stocks/CCRN/
CCS,"Century Communities, Inc.",Residential Construction,2.58B,https://stockanalysis.com/stocks/CCS/
CCSI,"Consensus Cloud Solutions, Inc.",Software - Infrastructure,355.96M,https://stockanalysis.com/stocks/CCSI/
CCTG,CCSC Technology International Holdings Limited,Electrical Equipment & Parts,24.67M,https://stockanalysis.com/stocks/CCTG/
CCTS,Cactus Acquisition Corp. 1 Limited,Shell Companies,57.60M,https://stockanalysis.com/stocks/CCTS/
CCU,Compania Cervecerias Unidas S.A.,Beverages - Brewers,2.23B,https://stockanalysis.com/stocks/CCU/
CDAQ,Compass Digital Acquisition Corp.,Shell Companies,113.77M,https://stockanalysis.com/stocks/CDAQ/
CDE,"Coeur Mining, Inc.",Gold,2.14B,https://stockanalysis.com/stocks/CDE/
CDIO,"Cardio Diagnostics Holdings, Inc.",Biotechnology,15.37M,https://stockanalysis.com/stocks/CDIO/
CDLR,Cadeler A/S,Engineering & Construction,2.06B,https://stockanalysis.com/stocks/CDLR/
CDLX,"Cardlytics, Inc.",Advertising Agencies,425.39M,https://stockanalysis.com/stocks/CDLX/
CDMO,"Avid Bioservices, Inc.",Biotechnology,505.30M,https://stockanalysis.com/stocks/CDMO/
CDNA,"CareDx, Inc",Diagnostics & Research,792.19M,https://stockanalysis.com/stocks/CDNA/
CDNS,"Cadence Design Systems, Inc.",Software - Application,80.12B,https://stockanalysis.com/stocks/CDNS/
CDP,COPT Defense Properties,REIT - Office,2.73B,https://stockanalysis.com/stocks/CDP/
CDRE,"Cadre Holdings, Inc.",Aerospace & Defense,1.32B,https://stockanalysis.com/stocks/CDRE/
CDRO,"Codere Online Luxembourg, S.A.",Gambling,322.52M,https://stockanalysis.com/stocks/CDRO/
CDT,Conduit Pharmaceuticals Inc.,Biotechnology,209.68M,https://stockanalysis.com/stocks/CDT/
CDTG,CDT Environmental Technology Investment Holdings Limited,Waste Management,43.66M,https://stockanalysis.com/stocks/CDTG/
CDTX,"Cidara Therapeutics, Inc.",Biotechnology,58.57M,https://stockanalysis.com/stocks/CDTX/
CDW,CDW Corporation,Information Technology Services,30.14B,https://stockanalysis.com/stocks/CDW/
CDXC,ChromaDex Corporation,Biotechnology,241.72M,https://stockanalysis.com/stocks/CDXC/
CDXS,"Codexis, Inc.",Biotechnology,230.02M,https://stockanalysis.com/stocks/CDXS/
CDZI,Cadiz Inc.,Utilities - Regulated Water,200.67M,https://stockanalysis.com/stocks/CDZI/
CE,Celanese Corporation,Chemicals,16.00B,https://stockanalysis.com/stocks/CE/
CEAD,CEA Industries Inc.,Farm & Heavy Construction Machinery,5.75M,https://stockanalysis.com/stocks/CEAD/
CECO,CECO Environmental Corp.,Pollution & Treatment Controls,816.44M,https://stockanalysis.com/stocks/CECO/
CEG,Constellation Energy Corporation,Utilities - Renewable,62.42B,https://stockanalysis.com/stocks/CEG/
CEI,"Camber Energy, Inc.",Oil & Gas Exploration & Production,26.39M,https://stockanalysis.com/stocks/CEI/
CEIX,CONSOL Energy Inc.,Thermal Coal,2.89B,https://stockanalysis.com/stocks/CEIX/
CELC,Celcuity Inc.,Biotechnology,501.59M,https://stockanalysis.com/stocks/CELC/
CELH,"Celsius Holdings, Inc.",Beverages - Non-Alcoholic,17.06B,https://stockanalysis.com/stocks/CELH/
CELU,Celularity Inc.,Biotechnology,70.79M,https://stockanalysis.com/stocks/CELU/
CELZ,"Creative Medical Technology Holdings, Inc.",Biotechnology,5.91M,https://stockanalysis.com/stocks/CELZ/
CENN,Cenntro Electric Group Limited,Auto Manufacturers,54.88M,https://stockanalysis.com/stocks/CENN/
CENT,Central Garden & Pet Company,Packaged Foods,2.49B,https://stockanalysis.com/stocks/CENT/
CENTA,Central Garden & Pet Company,Packaged Foods,2.50B,https://stockanalysis.com/stocks/CENTA/
CENX,Century Aluminum Company,Aluminum,1.47B,https://stockanalysis.com/stocks/CENX/
CEPU,Central Puerto S.A.,Utilities - Regulated Electric,1.22B,https://stockanalysis.com/stocks/CEPU/
CERE,"Cerevel Therapeutics Holdings, Inc.",Biotechnology,7.29B,https://stockanalysis.com/stocks/CERE/
CERO,"CERo Therapeutics Holdings, Inc.",Biotechnology,10.14M,https://stockanalysis.com/stocks/CERO/
CERS,Cerus Corporation,Medical Devices,329.10M,https://stockanalysis.com/stocks/CERS/
CERT,"Certara, Inc.",Health Information Services,2.73B,https://stockanalysis.com/stocks/CERT/
CET,Central Securities Corp.,Asset Management,1.24B,https://stockanalysis.com/stocks/CET/
CETU,Cetus Capital Acquisition Corp.,Shell Companies,40.83M,https://stockanalysis.com/stocks/CETU/
CETX,"Cemtrex, Inc.",Software - Infrastructure,3.41M,https://stockanalysis.com/stocks/CETX/
CEVA,"CEVA, Inc.",Semiconductors,473.06M,https://stockanalysis.com/stocks/CEVA/
CF,"CF Industries Holdings, Inc.",Agricultural Inputs,14.23B,https://stockanalysis.com/stocks/CF/
CFB,"CrossFirst Bankshares, Inc.",Banks - Regional,628.98M,https://stockanalysis.com/stocks/CFB/
CFBK,CF Bankshares Inc.,Banks - Regional,125.81M,https://stockanalysis.com/stocks/CFBK/
CFFI,C&F Financial Corporation,Banks - Regional,151.17M,https://stockanalysis.com/stocks/CFFI/
CFFN,"Capitol Federal Financial, Inc.",Banks - Regional,680.93M,https://stockanalysis.com/stocks/CFFN/
CFFS,CF Acquisition Corp. VII,Shell Companies,111.56M,https://stockanalysis.com/stocks/CFFS/
CFG,"Citizens Financial Group, Inc.",Banks - Regional,15.54B,https://stockanalysis.com/stocks/CFG/
CFLT,"Confluent, Inc.",Software - Infrastructure,8.19B,https://stockanalysis.com/stocks/CFLT/
CFR,Cullen Frost Bankers Inc.,Banks - Regional,6.47B,https://stockanalysis.com/stocks/CFR/
CFSB,"CFSB Bancorp, Inc.",Banks - Regional,44.11M,https://stockanalysis.com/stocks/CFSB/
CG,The Carlyle Group Inc.,Asset Management,14.64B,https://stockanalysis.com/stocks/CG/
CGA,"China Green Agriculture, Inc.",Agricultural Inputs,39.50M,https://stockanalysis.com/stocks/CGA/
CGAU,Centerra Gold Inc.,Gold,1.43B,https://stockanalysis.com/stocks/CGAU/
CGBD,"Carlyle Secured Lending, Inc.",Asset Management,913.80M,https://stockanalysis.com/stocks/CGBD/
CGC,Canopy Growth Corporation,Drug Manufacturers - Specialty & Generic,720.29M,https://stockanalysis.com/stocks/CGC/
CGEM,"Cullinan Oncology, Inc.",Biotechnology,1.29B,https://stockanalysis.com/stocks/CGEM/
CGEN,Compugen Ltd.,Biotechnology,188.91M,https://stockanalysis.com/stocks/CGEN/
CGNT,Cognyte Software Ltd.,Software - Infrastructure,558.03M,https://stockanalysis.com/stocks/CGNT/
CGNX,Cognex Corporation,Scientific & Technical Instruments,7.44B,https://stockanalysis.com/stocks/CGNX/
CGON,"CG Oncology, Inc.",Biotechnology,2.33B,https://stockanalysis.com/stocks/CGON/
CGTX,"Cognition Therapeutics, Inc.",Biotechnology,78.11M,https://stockanalysis.com/stocks/CGTX/
CHAA,Catcha Investment Corp,Shell Companies,100.40M,https://stockanalysis.com/stocks/CHAA/
CHCI,"Comstock Holding Companies, Inc.",Real Estate - Diversified,57.63M,https://stockanalysis.com/stocks/CHCI/
CHCO,City Holding Company,Banks - Regional,1.52B,https://stockanalysis.com/stocks/CHCO/
CHCT,Community Healthcare Trust Incorporated,REIT - Healthcare Facilities,646.27M,https://stockanalysis.com/stocks/CHCT/
CHD,"Church & Dwight Co., Inc.",Household & Personal Products,26.26B,https://stockanalysis.com/stocks/CHD/
CHDN,Churchill Downs Incorporated,Gambling,9.89B,https://stockanalysis.com/stocks/CHDN/
CHE,Chemed Corporation,Medical Care Facilities,8.23B,https://stockanalysis.com/stocks/CHE/
CHEB,Chenghe Acquisition II Co.,Shell Companies,100.20M,https://stockanalysis.com/stocks/CHEB/
CHEF,"The Chefs' Warehouse, Inc.",Food Distribution,1.56B,https://stockanalysis.com/stocks/CHEF/
CHEK,Check-Cap Ltd.,Diagnostics & Research,12.99M,https://stockanalysis.com/stocks/CHEK/
CHGG,"Chegg, Inc.",Education & Training Services,378.20M,https://stockanalysis.com/stocks/CHGG/
CHH,"Choice Hotels International, Inc.",Lodging,5.50B,https://stockanalysis.com/stocks/CHH/
CHK,Chesapeake Energy Corporation,Oil & Gas Exploration & Production,11.57B,https://stockanalysis.com/stocks/CHK/
CHKP,Check Point Software Technologies Ltd.,Software - Infrastructure,17.66B,https://stockanalysis.com/stocks/CHKP/
CHMG,Chemung Financial Corporation,Banks - Regional,204.78M,https://stockanalysis.com/stocks/CHMG/
CHMI,Cherry Hill Mortgage Investment Corporation,REIT - Mortgage,111.07M,https://stockanalysis.com/stocks/CHMI/
CHNR,"China Natural Resources, Inc.",Pollution & Treatment Controls,8.58M,https://stockanalysis.com/stocks/CHNR/
CHPT,"ChargePoint Holdings, Inc.",Specialty Retail,765.52M,https://stockanalysis.com/stocks/CHPT/
CHR,"Cheer Holding, Inc.",Advertising Agencies,27.19M,https://stockanalysis.com/stocks/CHR/
CHRD,Chord Energy Corporation,Oil & Gas Exploration & Production,10.54B,https://stockanalysis.com/stocks/CHRD/
CHRO,Chromocell Therapeutics Corporation,Biotechnology,8.19M,https://stockanalysis.com/stocks/CHRO/
CHRS,"Coherus BioSciences, Inc.",Biotechnology,193.89M,https://stockanalysis.com/stocks/CHRS/
CHRW,"C.H. Robinson Worldwide, Inc.",Integrated Freight & Logistics,10.18B,https://stockanalysis.com/stocks/CHRW/
CHSN,Chanson International Holding,Restaurants,30.73M,https://stockanalysis.com/stocks/CHSN/
CHT,"Chunghwa Telecom Co., Ltd.",Telecom Services,30.19B,https://stockanalysis.com/stocks/CHT/
CHTR,"Charter Communications, Inc.",Telecom Services,39.87B,https://stockanalysis.com/stocks/CHTR/
CHUY,"Chuy's Holdings, Inc.",Restaurants,451.08M,https://stockanalysis.com/stocks/CHUY/
CHWY,"Chewy, Inc.",Internet Retail,9.92B,https://stockanalysis.com/stocks/CHWY/
CHX,ChampionX Corporation,Oil & Gas Equipment & Services,6.01B,https://stockanalysis.com/stocks/CHX/
CI,Cigna Corporation,Healthcare Plans,96.05B,https://stockanalysis.com/stocks/CI/
CIA,"Citizens, Inc.",Insurance - Life,147.91M,https://stockanalysis.com/stocks/CIA/
CIB,Bancolombia S.A.,Banks - Regional,8.68B,https://stockanalysis.com/stocks/CIB/
CIEN,Ciena Corporation,Communication Equipment,6.62B,https://stockanalysis.com/stocks/CIEN/
CIFR,Cipher Mining Inc.,Capital Markets,1.25B,https://stockanalysis.com/stocks/CIFR/
CIG,Cia Energetica DE Minas Gerais - Cemig,Utilities - Diversified,5.92B,https://stockanalysis.com/stocks/CIG/
CIGI,Colliers International Group Inc.,Real Estate Services,5.23B,https://stockanalysis.com/stocks/CIGI/
CIM,Chimera Investment Corporation,REIT - Mortgage,935.90M,https://stockanalysis.com/stocks/CIM/
CINF,Cincinnati Financial Corporation,Insurance - Property & Casualty,18.16B,https://stockanalysis.com/stocks/CINF/
CING,Cingulate Inc.,Biotechnology,4.50M,https://stockanalysis.com/stocks/CING/
CINT,CI&T Inc,Software - Infrastructure,652.91M,https://stockanalysis.com/stocks/CINT/
CIO,"City Office REIT, Inc.",REIT - Office,197.16M,https://stockanalysis.com/stocks/CIO/
CION,CION Investment Corporation,Asset Management,647.07M,https://stockanalysis.com/stocks/CION/
CISO,CISO Global Inc,Software - Infrastructure,8.96M,https://stockanalysis.com/stocks/CISO/
CISS,C3is Inc.,Marine Shipping,9.60M,https://stockanalysis.com/stocks/CISS/
CITE,Cartica Acquisition Corp,Shell Companies,89.67M,https://stockanalysis.com/stocks/CITE/
CIVB,"Civista Bancshares, Inc.",Banks - Regional,221.91M,https://stockanalysis.com/stocks/CIVB/
CIVI,"Civitas Resources, Inc.",Oil & Gas Exploration & Production,6.78B,https://stockanalysis.com/stocks/CIVI/
CIX,CompX International Inc.,Security & Protection Services,294.18M,https://stockanalysis.com/stocks/CIX/
CJET,"Chijet Motor Company, Inc.",Auto Manufacturers,62.35M,https://stockanalysis.com/stocks/CJET/
CJJD,"China Jo-Jo Drugstores, Inc.",Pharmaceutical Retailers,13.54M,https://stockanalysis.com/stocks/CJJD/
CKPT,"Checkpoint Therapeutics, Inc.",Biotechnology,68.32M,https://stockanalysis.com/stocks/CKPT/
CKX,"CKX Lands, Inc.",Oil & Gas Exploration & Production,27.34M,https://stockanalysis.com/stocks/CKX/
CL,Colgate-Palmolive Company,Household & Personal Products,77.03B,https://stockanalysis.com/stocks/CL/
CLAR,Clarus Corporation,Leisure,255.45M,https://stockanalysis.com/stocks/CLAR/
CLB,Core Laboratories N.V.,Oil & Gas Equipment & Services,855.92M,https://stockanalysis.com/stocks/CLB/
CLBK,"Columbia Financial, Inc.",Banks - Regional,1.50B,https://stockanalysis.com/stocks/CLBK/
CLBR,Colombier Acquisition Corp.,Shell Companies,219.51M,https://stockanalysis.com/stocks/CLBR/
CLBT,Cellebrite DI Ltd.,Software - Infrastructure,2.17B,https://stockanalysis.com/stocks/CLBT/
CLCO,Cool Company Ltd.,Oil & Gas Midstream,608.99M,https://stockanalysis.com/stocks/CLCO/
CLDI,"Calidi Biotherapeutics, Inc.",Biotechnology,12.39M,https://stockanalysis.com/stocks/CLDI/
CLDT,Chatham Lodging Trust,REIT - Hotel & Motel,419.14M,https://stockanalysis.com/stocks/CLDT/
CLDX,"Celldex Therapeutics, Inc.",Biotechnology,2.33B,https://stockanalysis.com/stocks/CLDX/
CLEU,China Liberal Education Holdings Limited,Education & Training Services,10.72M,https://stockanalysis.com/stocks/CLEU/
CLF,Cleveland-Cliffs Inc.,Steel,7.51B,https://stockanalysis.com/stocks/CLF/
CLFD,"Clearfield, Inc.",Communication Equipment,562.22M,https://stockanalysis.com/stocks/CLFD/
CLGN,CollPlant Biotechnologies Ltd.,Biotechnology,58.76M,https://stockanalysis.com/stocks/CLGN/
CLH,"Clean Harbors, Inc.",Waste Management,11.54B,https://stockanalysis.com/stocks/CLH/
CLIR,ClearSign Technologies Corporation,Pollution & Treatment Controls,37.17M,https://stockanalysis.com/stocks/CLIR/
CLLS,Cellectis S.A.,Biotechnology,184.40M,https://stockanalysis.com/stocks/CLLS/
CLMB,"Climb Global Solutions, Inc.",Electronics & Computer Distribution,257.04M,https://stockanalysis.com/stocks/CLMB/
